company,position,location,schedule,responsibilities,requirements,levels,techstack,source,format,salary,currency,salary_range,format2,levels2
СБЕР,Delivery Lead (Цифровой кредитный мониторинг),Москва,Полный день,не определено,не определено,От 3 до 6 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Контакт,Business Development Manager,Санкт-Петербург,Полный день,не определено,не определено,От 1 года до 3 лет,"['B2B Продажи', 'Fluent English', 'Customer Service', 'Sales Skills', 'Customer Relationship Management', 'Teamplayer', 'Results Orientation', 'Flexibility']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
РБК,Тестировщик (middle),Москва,Удаленная работа,не определено,не определено,От 1 года до 3 лет,"['SQL', 'Atlassian Jira', 'Agile Project Management']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 1 года до 3 лет
СБЕР,Delivery Manager (HR платформа),Москва,Полный день,не определено,не определено,От 3 до 6 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Контакт,Account Executive,Санкт-Петербург,Полный день,не определено,не определено,От 1 года до 3 лет,"['Customer Relationship Management', 'Customer Service', 'B2B Продажи', 'Sales Skills', 'Fluent English']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
VK,Руководитель команды машинного обучения (ВК Видео),Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Linux', 'Python', 'SQL', 'Hadoop', 'Spark', 'Управление командой', 'Computer vision', 'Machine learning']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Gradient,Системный администратор Linux,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,['Администрирование серверов'],hh.ru,Полный день,130000.0,RUB,200000,не указано,От 1 года до 3 лет
Joom,Category Manager (e-commerce),Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['SQL', 'Категорийный менеджмент', 'MS Excel', 'E-Commerce']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Сколково,Product Manager,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Product Management', 'Английский язык', 'Управление проектами', 'Machine Learning', 'Управление продуктом', 'Автоматизация медицинских процессов', 'Биотехнология', 'MedTech']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
QSOFT,Менеджер проектов / Project Manager,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Управление проектами', 'Scrum', 'MS Project', 'MS Excel', 'MS Word', 'Google Docs', 'Agile', 'PMBOK']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
